,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio,avg_likes,num_of_posts,followers,following,bio_url,avg_like_follower_ratio,promoter_index,id_concentration
0,bellawithlucas,UC-Ju7Rpx4V9XsrLh2DXh9tw_1,1.6,11.7,0.5,0.2564102564102564,0.85,"{'comment1': 46, 'comment2': 16, 'comment3': 1, 'comment4': 1, 'comment5': 3, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '73.50', 'emoji': '26.50'}",1115.2,87,8169,2,www.youtube.com/user/kimdonghyun3013,0.14,2,1.7205882352941178
1,serim.hong.50,UC0ssa8zC_3oif4iZcUe5VUg,3.6,30.7,0.0,0.625,0.81,"{'comment1': 229, 'comment2': 20, 'comment3': 9, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.70', 'emoji': '1.30'}",3354.2,1007,88363,510,zeezeeplanet.com,0.04,3,1.1807692307692308
2,seokgguchookggu,UC8valWz_8jFnX4tMGCeC62w,2.7,10.8,0.1,0.026041666666666668,0.78,"{'comment1': 60, 'comment2': 10, 'comment3': 4, 'comment4': 4, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '89.81', 'emoji': '10.19'}",133.8,13,794,15,,0.17,0,1.3846153846153846
3,its.hanbyul,UC9gW47NqzI1x7e8qsflvUUw,0.3,34.0,0.0,0.38461538461538464,0.8,"{'comment1': 194, 'comment2': 31, 'comment3': 8, 'comment4': 1, 'comment5': 1, 'comment6': 2, 'comment7': 0, 'comment8': 2, 'comment9': 0, 'comment10': 1, 'over_10': 1}","{'ko': '92.65', 'emoji': '7.35'}",3133.1,110,49117,74,youtu.be/5e3kEeC2vhE,0.06,3,1.4107883817427387
4,monkey.d.kihoon,UC9nFMAQcn0bqIrEV9vUdU1g,0.5,134.9,0.0,1.1111111111111112,0.64,"{'comment1': 992, 'comment2': 126, 'comment3': 20, 'comment4': 6, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '97.33', 'emoji': '2.67'}",10508.3,149,127641,241,smartstore.naver.com/beautycanvas/products/4539189590,0.08,0,1.176111595466434
5,powermovie,UCCcE8BpgFqKRP3au8tEUrAw,3.6,11.4,0.2,0.10526315789473684,0.75,"{'comment1': 47, 'comment2': 12, 'comment3': 3, 'comment4': 4, 'comment5': 1, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '92.98', 'emoji': '7.02'}",405.8,47,3327,14,www.youtube.com/c/POWERMOVIE,0.12,0,1.6521739130434783
6,official_ripple,UCCjJV_nxuPQ_fWGkAkA46fA,1.2,27.8,0.0,0.028985507246376805,0.41,"{'comment1': 220, 'comment2': 21, 'comment3': 0, 'comment4': 1, 'comment5': 0, 'comment6': 2, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.12', 'emoji': '2.88'}",1976.6,50,24991,16,bit.ly/2VANbh2,0.08,0,1.1440329218106995
7,endears_o,UCENNpEHHCiZGb2dk1MHml7Q_1,2.6,190.9,0.0,0.38461538461538464,0.67,"{'comment1': 1444, 'comment2': 183, 'comment3': 26, 'comment4': 2, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.95', 'emoji': '1.05'}",10089.3,271,179601,54,goo.gl/5dpoF2,0.06,3,1.152082076041038
8,blueskyh2,UCFUpTxU3nlGed-suY-FjjxA,0.4,36.2,0.1,0.4,0.45,"{'comment1': 237, 'comment2': 34, 'comment3': 13, 'comment4': 3, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.51', 'emoji': '2.49'}",1181.1,753,27819,200,m.youtube.com/channel/UCFUpTxU3nlGed-suY-FjjxA,0.04,1,1.2569444444444444
9,yan.youtube,UCHpIHu4LzmNuD8bsE6mZLSA,2.4,53.0,7.6,0.3333333333333333,0.89,"{'comment1': 239, 'comment2': 32, 'comment3': 19, 'comment4': 10, 'comment5': 2, 'comment6': 2, 'comment7': 2, 'comment8': 1, 'comment9': 0, 'comment10': 1, 'over_10': 1}","{'ko': '96.79', 'emoji': '3.21'}",905.5,216,10281,101,www.youtube.com/channel/UCHpIHu4LzmNuD8bsE6mZLSA,0.09,2,1.7207792207792207
10,redhatsg,UCLvaHVogti2o0AkXoNZzeKA,1.6,15.6,0.3,0.026737967914438502,0.46,"{'comment1': 107, 'comment2': 18, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.72', 'emoji': '1.28'}",209.1,12,2270,28,,0.09,3,1.2093023255813953
11,korea_grandma,UCN8CPzwkYiDVLZlgD4JQgJQ,0.0,216.0,0.0,1.4285714285714286,0.67,"{'comment1': 1676, 'comment2': 177, 'comment3': 29, 'comment4': 3, 'comment5': 5, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.11', 'emoji': '8.89'}",15702.7,1268,323208,3,youtube.com/korea_grandma,0.05,1,1.1422527763088313
12,soy_asmr,UCPpYonu8HMQCvNVcG2xYgwA,0.8,34.0,2.5,0.25,0.73,"{'comment1': 136, 'comment2': 36, 'comment3': 13, 'comment4': 7, 'comment5': 1, 'comment6': 4, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '87.06', 'emoji': '12.94'}",1175.7,851,17011,411,youtube.com/c/SoyASMR,0.07,0,1.7085427135678393
