,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio
0,hun1188,UC-6FxcmnbyVeZaYc025I_xQ,1.4,1.3,10.6,0.128205128,0.67,"{'comment1': 4, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.62', 'emoji': '15.38'}"
1,hansangki0755,UC-IBt8pM8hWx8wiwjcDLdIQ,3.5,19.7,170.7,0.526315789,0.07,"{'comment1': 78, 'comment2': 23, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}",{'ko': '100.00'}
2,bellawithlucas,UC-Ju7Rpx4V9XsrLh2DXh9tw_1,1.6,11.7,11.2,0.256410256,0.85,"{'comment1': 46, 'comment2': 16, 'comment3': 1, 'comment4': 1, 'comment5': 3, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '73.50', 'emoji': '26.50'}"
3,lucas_d.h,UC-Ju7Rpx4V9XsrLh2DXh9tw_2,2.4,7,242.2,0.188679245,0.79,"{'comment1': 49, 'comment2': 18, 'comment3': 4, 'comment4': 2, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '93.33', 'emoji': '6.67'}"
4,bellaluv90,UC-Ju7Rpx4V9XsrLh2DXh9tw_3,2.3,7.7,16.7,0.192307692,0.95,"{'comment1': 33, 'comment2': 12, 'comment3': 2, 'comment4': 2, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '81.82', 'emoji': '18.18'}"
5,24x01,UC0BPsIEZ5cMuedvzQO3J1jw,1.5,43.3,18.3,2.5,0.33,"{'comment1': 403, 'comment2': 54, 'comment3': 11, 'comment4': 6, 'comment5': 4, 'comment6': 3, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '97.95', 'emoji': '2.05'}"
6,bnatv1004,UC0L2FaavWKVvAuXZi1oPFWQ,3.8,0.3,0,1.666666667,0.93,"{'comment1': 3, 'comment2': 0, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '66.67', 'emoji': '33.33'}"
7,serim.hong.50,UC0ssa8zC_3oif4iZcUe5VUg,3.6,28.9,0,0.625,0.81,"{'comment1': 229, 'comment2': 20, 'comment3': 9, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.70', 'emoji': '1.30'}"
8,matsangmu,UC1r112Pr9Ngcg2NtcE946HQ,1.7,6.7,0,1.25,0.44,"{'comment1': 45, 'comment2': 6, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.51', 'emoji': '1.49'}"
9,josh_bamui,UC22gayxEPsQLhZXpHDjS8Qg,1.1,4.1,4.3,0.625,0.19,"{'comment1': 19, 'comment2': 0, 'comment3': 2, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 1, 'over_10': 0}","{'ko': '80.49', 'emoji': '19.51'}"
10,gdsfamily4,UC24BfKRQk_5uZomn0DxW2Ew,0.6,14.8,33.5,0.144927536,0.5,"{'comment1': 82, 'comment2': 12, 'comment3': 1, 'comment4': 2, 'comment5': 2, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.97', 'emoji': '2.03'}"
11,h_ue_,UC24ZdEFJvYvQwqnWJodWzng,0,52.3,92.1,0.769230769,0.45,"{'comment1': 309, 'comment2': 41, 'comment3': 12, 'comment4': 10, 'comment5': 1, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.32', 'emoji': '2.68'}"
12,take_jung,UC2QeHNJFfuQWB4cy3M-745g,4.1,6,5.1,0.12345679,0.62,"{'comment1': 32, 'comment2': 9, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '96.67', 'emoji': '3.33'}"
13,dingo_movie,UC2dajIvSk458lj-0GNULGeA,4.3,7,0,0.833333333,0.89,"{'comment1': 64, 'comment2': 3, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '95.89', 'emoji': '4.11'}"
14,kobejeans,UC3l1qgrRx8vPan82wDc3kNg,8.8,6,67.9,0.243902439,0.42,"{'comment1': 25, 'comment2': 3, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '96.67', 'emoji': '3.33'}"
15,dada_living,UC4ZOrJ0xNrUsVdX64M8atHQ,0,0.6,0,0.714285714,,"{'comment1': 0, 'comment2': 0, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}",{'emoji': '100.00'}
16,72sectv,UC4u2X5QolYdz4faUfKRm3_w,0.1,4,8,0.0118623962,0,"{'comment1': 39, 'comment2': 4, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.00', 'emoji': '2.00'}"
17,euddeume_,UC4yq3FWEWqMvFNFBsV3gbKQ,0,16.9,0,1.666666667,0.83,"{'comment1': 89, 'comment2': 9, 'comment3': 6, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '57.99', 'emoji': '42.01'}"
18,hyo_joo,UC5FOkD_OiUjgCOawXaK0wCg,11.8,7.2,36.7,0.181818182,1,"{'comment1': 169, 'comment2': 22, 'comment3': 2, 'comment4': 1, 'comment5': 2, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.58', 'emoji': '15.42'}"
